Fichier                        | WER (%)
----------------------------------------
ASDP1_model.txt                |   35.21
ASDP2_model.txt                |   37.83
ASHE10_model.txt               |   34.72
ASHE11_model.txt               |   31.07
ASHE12_model.txt               |   30.86
ASHE1_model.txt                |   26.37
ASHE2_model.txt                |   27.49
ASHE3_model.txt                |   30.52
ASHE4_model.txt                |   28.53
ASHE5_model.txt                |   29.89
ASHE6_model.txt                |   31.25
ASHE7_model.txt                |   29.72
ASHE8_model.txt                |   32.63
ASHE9_model.txt                |   28.43
ASHP1_model.txt                |   17.33
ASHP2_model.txt                |   22.34
ASHP3_model.txt                |   20.22
ASHP4_model.txt                |   23.89
ASHP5_model.txt                |   18.40
BAVP1_model.txt                |   19.47
BAVP2_model.txt                |   22.93
BAVP3_model.txt                |   24.50
BAVP4_model.txt                |   22.06
BOAE10_model.txt               |   26.60
BOAE11_model.txt               |   20.86
BOAE1_model.txt                |   33.25
BOAE2_model.txt                |   26.25
BOAE3_model.txt                |   23.68
BOAE4_model.txt                |   28.02
BOAE5_model.txt                |   24.36
BOAE6_model.txt                |   25.83
BOAE7_model.txt                |   28.33
BOAE8_model.txt                |   22.71
BOAE9_model.txt                |   24.72
BOAP1_model.txt                |   20.36
BOAP2_model.txt                |   18.71
BOAP3_model.txt                |   16.34
BOAP4_model.txt                |   21.29
COAE10_model.txt               |   29.41
COAE11_model.txt               |   34.71
COAE12_model.txt               |   35.75
COAE13_model.txt               |   33.85
COAE14_model.txt               |   29.95
COAE15_model.txt               |   27.78
COAE16_model.txt               |   33.42
COAE17_model.txt               |   38.96
COAE1_model.txt                |   46.36
COAE2_model.txt                |   38.46
COAE3_model.txt                |   37.65
COAE4_model.txt                |   38.66
COAE5_model.txt                |   36.19
COAE6_model.txt                |   35.47
COAE7_model.txt                |   27.83
COAE8_model.txt                |   32.39
COAE9_model.txt                |   37.09
COAP10_model.txt               |   16.53
COAP11_model.txt               |   21.10
COAP12_model.txt               |   15.41
COAP13_model.txt               |   15.64
COAP14_model.txt               |   10.00
COAP15_model.txt               |   20.17
COAP16_model.txt               |   23.29
COAP17_model.txt               |   19.10
COAP18_model.txt               |   16.03
COAP1_model.txt                |   19.49
COAP2_model.txt                |   17.97
COAP3_model.txt                |   23.98
COAP4_model.txt                |   21.80
COAP5_model.txt                |   17.23
COAP6_model.txt                |   16.22
COAP7_model.txt                |   17.86
COAP8_model.txt                |   13.38
COAP9_model.txt                |   21.85
GOLE10_model.txt               |   36.00
GOLE1_model.txt                |   31.63
