Fichier                        | WER (%)
----------------------------------------
ESLO1_CONF_503_communication_model.txt |   36.68
ESLO1_ENT_002_peintre-vitrier_model.txt |   40.09
ESLO1_ENT_002_vitraux_model.txt |   30.16
ESLO1_ENT_010_couturiere_model.txt |   39.83
ESLO1_ENT_010_mariage_model.txt |   37.64
ESLO1_ENT_010_pret-a-porter_model.txt |   40.47
ESLO1_ENT_011_supermarches_model.txt |   41.98
ESLO1_ENT_012_dimension-humaine_model.txt |   32.45
ESLO1_ENT_012_math-et-langues_model.txt |   27.85
ESLO1_ENT_014_chantiers_model.txt |   40.05
ESLO1_ENT_014_droit-social_model.txt |   42.20
ESLO1_ENT_023_tonnelier_model.txt |   44.69
ESLO1_ENT_024_charron_model.txt |   42.36
ESLO1_ENT_029_bolcho_model.txt |   38.85
ESLO1_ENT_029_cine-club_model.txt |   42.70
ESLO1_ENT_029_etudiants_model.txt |   31.03
ESLO1_ENT_057_salon_model.txt  |   32.76
ESLO1_ENT_064_budget-coiffure_model.txt |   36.83
ESLO1_ENT_082_the_model.txt    |   42.22
ESLO1_ENT_092_isolement_model.txt |   43.00
ESLO1_ENT_093_confort_model.txt |   54.05
ESLO1_ENT_096_chocolat_model.txt |   44.31
ESLO1_ENT_110_bertha_model.txt |   52.20
ESLO1_ENT_110_travail-champs_model.txt |   53.39
ESLO1_ENT_112_bourgeois_model.txt |   43.50
ESLO1_ENT_112_grands-ensembles_model.txt |   45.89
ESLO1_ENT_119_chataignerie_model.txt |   34.48
ESLO1_ENT_119_colporteur_model.txt |   38.78
ESLO1_ENT_119_technocrates_model.txt |   40.82
ESLO1_ENT_121_tabasser_model.txt |   31.97
ESLO1_ENT_121_voyou_model.txt  |   39.64
ESLO1_ENT_142_greve_model.txt  |   55.76
ESLO1_ENT_151_bastille_model.txt |   45.74
ESLO1_ENT_151_metiers-de-femme_model.txt |   40.69
ESLO1_ENT_151_petit-poisson_model.txt |   48.53
ESLO1_ENT_164_superficialite_model.txt |   54.79
ESLO1_ENT_165_femmes_model.txt |   39.45
ESLO1_ENT_165_moutons_model.txt |   40.32
ESLO1_ENT_166_code-de-la-route_model.txt |   31.89
ESLO1_ENT_167_contestation_model.txt |   50.00
ESLO1_ENT_167_parties_model.txt |   44.76
ESLO1_ENT_167_photographe_model.txt |   40.21
ESLO1_ENT_167_voiture_model.txt |   41.63
ESLO1_INTPERS_403_lyceen_model.txt |   42.21
ESLO1_INTPERS_403_ouvriers_model.txt |   44.98
ESLO1_INTPERS_403_parachutiste_model.txt |   50.54
ESLO1_INTPERS_409_capitale_model.txt |   47.49
ESLO1_INTPERS_409_terre-de-passage_model.txt |   44.03
ESLO1_INTPERS_409_va-et-vient_model.txt |   45.69
ESLO1_INTPERS_414_artisanat_model.txt |   35.61
ESLO1_INTPERS_416_chinoiser_model.txt |   35.76
ESLO1_INTPERS_419_vinaigriers_model.txt |   34.68
ESLO1_INTPERS_423_fonderie_model.txt |   50.00
ESLO1_INTPERS_426_enfant_model.txt |   27.92
ESLO1_INTPERS_445_bibliotheque_model.txt |   46.18
ESLO1_INTPERS_445_public_model.txt |   41.71
ESLO1_INTPERS_461_liberation_model.txt |   38.17
ESLO1_INTPERS_462_cheminot_model.txt |   76.05
ESLO1_REPAS_270_aveu_model.txt |   62.34
ESLO2_24H_1249_sapin-violet_model.txt |   57.78
ESLO2_24H_1250_echarpe_model.txt |   46.44
ESLO2_24H_1251_demoiselle_model.txt |   50.18
ESLO2_24H_1253_chlope_model.txt |   54.14
ESLO2_24H_1253_doggy-bag_model.txt |   59.02
ESLO2_24H_1253_vodka_model.txt |   54.09
ESLO2_CINE_1178_twilight_model.txt |   39.65
ESLO2_CINE_1187_polisse_model.txt |   56.17
ESLO2_CINE_1187_rattrapages_model.txt |   55.30
ESLO2_CINE_1191_drive_model.txt |   31.27
ESLO2_CINE_1193_adoption_model.txt |   27.97
ESLO2_CINE_1215_indiscret_model.txt |   48.96
ESLO2_CINE_1219_poulet-prunes_model.txt |   41.52
ESLO2_CONF_1240_arsenic_model.txt |   38.62
ESLO2_CONF_1240_bernard-perrot_model.txt |   38.11
ESLO2_CONF_1241_esperance_model.txt |   44.21
ESLO2_CONF_1241_napoleon_model.txt |   47.25
ESLO2_CONF_1242_didactique_model.txt |   45.28
ESLO2_CONF_1243_diamela-eltit_model.txt |   51.20
ESLO2_CONF_1244_vin_model.txt  |   36.96
