Fichier                        | WER (%)
----------------------------------------
ASDP1_model.txt                |   31.46
ASDP2_model.txt                |   37.83
ASHE10_model.txt               |   28.57
ASHE11_model.txt               |   31.54
ASHE12_model.txt               |   26.03
ASHE1_model.txt                |   24.02
ASHE2_model.txt                |   25.28
ASHE3_model.txt                |   30.52
ASHE4_model.txt                |   26.40
ASHE5_model.txt                |   29.68
ASHE6_model.txt                |   28.96
ASHE7_model.txt                |   32.38
ASHE8_model.txt                |   29.37
ASHE9_model.txt                |   24.08
ASHP1_model.txt                |   19.13
ASHP2_model.txt                |   24.68
ASHP3_model.txt                |   18.60
ASHP4_model.txt                |   20.48
ASHP5_model.txt                |   16.32
BAVP1_model.txt                |   19.91
BAVP2_model.txt                |   20.68
BAVP3_model.txt                |   18.79
BAVP4_model.txt                |   19.85
BOAE10_model.txt               |   24.68
BOAE11_model.txt               |   22.91
BOAE1_model.txt                |   30.27
BOAE2_model.txt                |   26.25
BOAE3_model.txt                |   22.04
BOAE4_model.txt                |   27.70
BOAE5_model.txt                |   56.26
BOAE6_model.txt                |   25.42
BOAE7_model.txt                |   25.19
BOAE8_model.txt                |   22.55
BOAE9_model.txt                |   24.84
BOAP1_model.txt                |   18.56
BOAP2_model.txt                |   15.79
BOAP3_model.txt                |   15.35
BOAP4_model.txt                |   21.29
COAE10_model.txt               |   32.62
COAE11_model.txt               |   32.94
COAE12_model.txt               |   30.57
COAE13_model.txt               |   32.82
COAE14_model.txt               |   30.77
COAE15_model.txt               |   28.57
COAE16_model.txt               |   32.91
COAE17_model.txt               |   45.45
COAE1_model.txt                |   43.93
COAE2_model.txt                |   36.87
COAE3_model.txt                |   32.47
COAE4_model.txt                |   35.78
COAE5_model.txt                |   34.23
COAE6_model.txt                |   29.65
COAE7_model.txt                |   25.99
COAE8_model.txt                |   28.28
COAE9_model.txt                |   41.60
COAP10_model.txt               |   12.74
COAP11_model.txt               |   21.97
COAP12_model.txt               |   15.41
COAP13_model.txt               |   15.03
COAP14_model.txt               |    9.26
COAP15_model.txt               |   17.00
COAP16_model.txt               |   22.59
COAP17_model.txt               |   18.21
COAP18_model.txt               |   11.96
COAP1_model.txt                |   17.33
